HOSPITAL_LOCATION_ID,PRODUCT_NUMBER,SUBSEQUENT_ORDER_QUANTITY,SUBSEQUENT_DELIVERY_QUANTITY,ORIGINAL_ORDER_QUANTITY,ORIGINAL_DELIVERY_QUANTITY,ENTRY_DATE,SUBSEQUENT_ORDER_DATE,LOST_QUANTITY,DAYS_BETWEEN_ORDERS
14.0,3029395,40,40,40,40,2022-12-07,2023-01-10,0,34
380.0,4226404,1,1,1,1,2023-01-05,2023-02-07,0,33
380.0,4907400,10,0,5,5,2023-01-05,2023-03-02,0,56
380.0,4907400,10,0,2,2,2023-02-07,2023-03-02,0,23
380.0,5480405,1,1,1,1,2023-01-05,2023-02-07,0,33
380.0,5482401,6,6,8,0,2023-02-07,2023-03-02,8,23
380.0,5488409,2,2,3,0,2023-02-07,2023-02-16,3,9
380.0,5488409,2,0,3,0,2023-02-07,2023-03-02,3,23
380.0,5488409,2,0,2,2,2023-02-16,2023-03-02,0,14
380.0,6179403,2,2,2,2,2023-01-05,2023-02-07,0,33
380.0,6179403,10,10,2,2,2023-01-05,2023-03-02,0,56
380.0,6179403,10,10,2,2,2023-02-07,2023-03-02,0,23
380.0,6598405,6,6,4,4,2023-02-07,2023-03-02,0,23
380.0,8717714,3,3,3,0,2023-02-07,2023-02-16,3,9
1192.0,8717714,1,1,1,1,2023-01-10,2023-01-27,0,17
1431.0,8720790,20,20,17,17,2023-01-24,2023-03-08,0,43
1431.0,1AA2581,6,6,6,6,2023-01-24,2023-02-02,0,9
2669.0,6598405,3,3,1,1,2023-01-05,2023-02-10,0,36
2780.0,6979407,3,3,3,0,2023-01-06,2023-01-19,3,13
3519.0,11403,7,7,2,2,2023-02-08,2023-03-17,0,37
3582.0,4907400,4,4,3,0,2023-02-27,2023-02-28,3,1
3582.0,5307401,15,0,15,0,2022-12-08,2023-01-11,15,34
3582.0,5307401,10,0,10,0,2023-02-27,2023-02-28,10,1
3582.0,5307401,10,0,15,0,2023-01-11,2023-02-27,15,47
3582.0,5307401,10,0,15,0,2023-01-11,2023-02-28,15,48
3582.0,5963336,7,7,7,0,2023-02-27,2023-02-28,7,1
3879.0,91488,5,5,5,5,2023-02-13,2023-03-28,0,43
3879.0,367012,5,5,3,3,2023-02-13,2023-02-28,0,15
3879.0,367012,4,4,3,3,2023-02-13,2023-03-28,0,43
3879.0,373019,2,2,2,2,2023-02-13,2023-02-28,0,15
3879.0,373019,4,4,2,2,2023-02-13,2023-03-28,0,43
3879.0,373019,4,4,2,2,2023-02-28,2023-03-28,0,28
3879.0,387028,4,4,2,2,2023-02-13,2023-03-28,0,43
3879.0,388018,1,1,1,1,2023-02-13,2023-02-28,0,15
3879.0,4520400,3,3,3,0,2023-02-28,2023-03-28,3,28
3879.0,4907400,10,10,4,4,2023-02-13,2023-03-28,0,43
3879.0,4907400,10,10,3,0,2023-02-28,2023-03-28,3,28
3879.0,5482401,24,24,24,24,2023-02-13,2023-02-28,0,15
3879.0,6598405,7,7,7,7,2023-02-13,2023-02-28,0,15
3879.0,6598405,8,8,7,7,2023-02-13,2023-03-28,0,43
3879.0,6598405,8,8,7,7,2023-02-28,2023-03-28,0,28
3879.0,6623400,6,6,6,6,2023-02-13,2023-03-28,0,43
3879.0,1AA0004,3,3,2,2,2023-02-13,2023-03-28,0,43
4648.0,91488,30,30,15,15,2023-01-04,2023-03-02,0,57
4975.0,5406,4,4,1,1,2023-03-01,2023-03-17,0,16
4975.0,5406,4,4,3,3,2023-01-26,2023-03-17,0,50
4975.0,173070,1,1,1,0,2023-03-17,2023-03-20,1,3
6143.0,8720774,2,2,2,0,2022-12-22,2023-01-11,2,20
6143.0,1AA0004,4,4,4,4,2022-12-22,2023-01-11,0,20
6810.0,97403,4,4,2,2,2023-02-20,2023-03-13,0,21
7905.0,91488,1,1,1,1,2023-01-10,2023-01-26,0,16
7905.0,5480405,10,10,10,10,2022-12-21,2023-01-24,0,34
7905.0,5480405,10,10,5,5,2023-01-05,2023-01-24,0,19
8545.0,97403,6,6,6,6,2022-12-22,2023-01-23,0,32
8545.0,97403,10,10,6,6,2023-01-23,2023-03-02,0,38
8545.0,1660407,4,4,3,3,2022-12-22,2023-01-23,0,32
8545.0,1660407,8,8,4,4,2023-01-23,2023-03-02,0,38
8545.0,5482401,8,8,8,8,2022-12-22,2023-01-23,0,32
8700.0,370023,2,2,2,0,2023-01-17,2023-01-27,2,10
8700.0,3029395,3,3,3,3,2023-01-17,2023-01-27,0,10
9598.0,387028,2,0,1,1,2022-12-15,2023-01-10,0,26
9598.0,387028,1,1,1,1,2022-12-15,2023-01-31,0,47
9598.0,387028,2,2,1,1,2022-12-15,2023-01-31,0,47
9598.0,387028,2,2,1,1,2022-12-15,2023-01-10,0,26
9598.0,387028,1,1,2,0,2023-01-10,2023-01-31,2,21
9598.0,387028,2,2,2,0,2023-01-10,2023-01-31,2,21
9598.0,387028,2,2,2,2,2023-01-10,2023-01-31,0,21
9684.0,727125,2,0,1,1,2023-01-10,2023-03-07,0,56
9684.0,8720790,20,20,15,15,2023-02-15,2023-03-09,0,22
9684.0,8720790,20,20,10,10,2023-03-03,2023-03-09,0,6
10361.0,5406,5,5,5,0,2023-02-27,2023-03-13,5,14
10361.0,34405,4,4,3,3,2022-12-29,2022-12-30,0,1
10361.0,1AA0003,4,4,3,3,2022-12-30,2023-02-27,0,59
11329.0,1AB2733,2,2,2,2,2023-02-14,2023-02-15,0,1
12263.0,97403,9,9,8,8,2022-11-23,2023-01-17,0,55
12263.0,97403,12,12,8,8,2022-11-23,2023-01-10,0,48
12263.0,367012,10,10,1,1,2022-11-23,2023-01-10,0,48
12263.0,6598405,10,10,10,10,2022-11-23,2023-01-17,0,55
12263.0,6623400,10,10,10,10,2022-11-23,2023-01-17,0,55
12427.0,365016,1,1,1,0,2023-02-24,2023-03-07,1,11
12464.0,504010,1,1,1,1,2023-01-11,2023-03-01,0,49
12464.0,505018,4,4,4,4,2023-01-11,2023-03-01,0,49
12464.0,5482401,3,3,8,0,2023-01-10,2023-03-01,8,50
12522.0,5406,5,5,1,1,2023-02-06,2023-03-23,0,45
12522.0,5406,4,4,1,1,2023-02-06,2023-03-20,0,42
12522.0,5406,5,5,4,4,2023-03-20,2023-03-23,0,3
12522.0,24406,3,3,5,0,2023-03-20,2023-03-23,5,3
12522.0,5482401,20,20,9,9,2023-03-20,2023-03-23,0,3
12890.0,97403,14,14,4,4,2023-01-17,2023-02-28,0,42
12890.0,5148409,14,14,14,14,2023-01-17,2023-02-28,0,42
13016.0,62349,3,3,3,3,2023-02-20,2023-02-27,0,7
14236.0,1402403,15,15,10,10,2023-01-19,2023-02-17,0,29
